                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2592,                 1.6769,                 1.5525,                      1,                0.80574,                0.91153,                0.62596,                 1.1788,                 2.1337,                  1.654,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.238,                 1.5829,                 1.5173,                0.98075,                0.76471,                 0.9021,                0.59086,                 1.1045,                 2.0435,                  1.622,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1937,                 1.4683,                  1.487,                0.97673,                0.94118,                0.94658,                0.56954,                 1.3194,                 2.3119,                 1.9256,               0.000948,               0.000948,               0.000948
                     37,                 1.2545,                 1.6447,                 1.5426,                0.98769,                0.94118,                0.94652,                0.42131,                 1.7615,                  2.471,                 2.7526,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0781,                 1.3488,                 1.4136,                0.86216,                0.82353,                0.80645,                0.36025,                 1.8905,                 2.5547,                 3.1513,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.1138,                 1.5668,                 1.5234,                      1,                0.92455,                0.95149,                0.36205,                 1.7857,                 2.4199,                  2.922,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.181,                 1.4927,                 1.5201,                 0.9346,                0.94118,                0.94818,                0.46529,                  1.239,                 1.8876,                 1.8682,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2283,                 1.5171,                 1.5663,                0.93564,                0.88235,                0.95568,                0.65495,                0.97862,                 1.5819,                 1.6245,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.1755,                 1.4653,                 1.5256,                0.99278,                0.94118,                0.97076,                0.68535,                0.96838,                 1.5555,                 1.5247,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0857,                 1.3126,                 1.4355,                0.99278,                0.94118,                0.97076,                0.68535,                0.96838,                 1.5555,                 1.5247,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1713,                 1.4013,                  1.419,                      1,                0.93631,                0.98042,                0.68071,                 1.0513,                 1.5928,                 1.5671,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2365,                 1.5877,                 1.4943,                0.94034,                0.92785,                0.98397,                0.68238,                 1.0382,                  1.529,                 1.5656,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.1094,                 1.3319,                 1.3496,                0.98798,                0.88235,                0.98083,                0.64065,                 1.0758,                 1.5951,                 1.5809,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1306,                 1.3689,                 1.4166,                0.99102,                0.88235,                0.98083,                0.68877,                 1.0561,                 1.5373,                 1.5766,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1855,                 1.3913,                 1.4774,                      1,                0.93162,                0.99222,                 0.6575,                 1.0976,                 1.4463,                 1.6714,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1721,                  1.384,                 1.4267,                0.99123,                0.88235,                0.98195,                0.62297,                 1.0748,                 1.4803,                 1.6967,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.0836,                 1.3014,                 1.3491,                      1,                0.93915,                0.98974,                0.60038,                 1.1045,                 1.5101,                 1.7276,             0.00074994,             0.00074994,             0.00074994
                     51,                  1.182,                 1.4106,                 1.4797,                0.93462,                0.94118,                0.98621,                0.52062,                 1.5411,                 1.7593,                 2.1419,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1365,                 1.4123,                 1.4063,                0.94393,                0.99076,                0.99222,                 0.4541,                 1.9147,                 1.5188,                 2.8271,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1295,                 1.2568,                 1.4554,                      1,                0.88187,                0.98011,                0.52446,                 1.6983,                 1.6595,                 2.4544,              0.0007075,              0.0007075,              0.0007075
                     54,                  1.089,                 1.3828,                 1.3817,                0.91503,                0.82353,                0.94795,                0.59359,                 1.3174,                 1.7938,                 1.9195,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.0359,                 1.2651,                  1.352,                0.87856,                0.85199,                0.90787,                 0.6256,                 1.0124,                 1.5308,                 1.6298,              0.0006792,              0.0006792,              0.0006792
