                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0693,                 3.3473,                  1.879,                0.01758,                0.58586,                0.09178,                0.04085,                 1.9053,                   3.25,                 1.7697,                0.00018,                0.00018,                0.00018
                      2,                 1.8374,                 2.9528,                 1.6563,                0.02364,                0.78788,                0.21929,                0.10946,                 1.7531,                 2.9816,                 1.4826,             0.00037962,             0.00037962,             0.00037962
                      3,                 1.9254,                 2.3832,                 1.6697,                0.02485,                0.82828,                0.21312,                0.09286,                 1.8057,                  2.847,                 1.4995,             0.00057885,             0.00057885,             0.00057885
                      4,                 1.8689,                 2.1604,                 1.7008,                0.02364,                0.78788,                0.18236,                0.08032,                 1.9255,                 2.7475,                 1.5989,             0.00077768,             0.00077768,             0.00077768
                      5,                 1.6654,                 1.9661,                  1.539,                0.02333,                0.77778,                0.12006,                0.05111,                 1.8816,                 2.7231,                 1.6912,             0.00097612,             0.00097612,             0.00097612
                      6,                 1.6658,                 1.9324,                 1.5787,                0.15574,                0.43434,                0.15927,                0.07415,                 1.8393,                 2.6368,                 1.6881,              0.0011742,              0.0011742,              0.0011742
                      7,                 1.6217,                 1.8771,                 1.5314,                0.15574,                0.43434,                0.15927,                0.07415,                 1.8393,                 2.6368,                 1.6881,              0.0013718,              0.0013718,              0.0013718
                      8,                 1.7217,                 2.0096,                 1.5863,                0.31765,                0.18182,                0.16507,                0.08559,                 2.0052,                 2.4478,                 1.8004,              0.0015691,              0.0015691,              0.0015691
                      9,                 1.8195,                 2.0014,                 1.6145,                0.37617,                0.34343,                0.30484,                0.14667,                 2.0331,                 2.0494,                 1.8681,              0.0017659,              0.0017659,              0.0017659
                     10,                 1.7621,                 2.0809,                 1.6138,                0.37617,                0.34343,                0.30484,                0.14667,                 2.0331,                 2.0494,                 1.8681,              0.0019624,              0.0019624,              0.0019624
                     11,                 1.8952,                   2.15,                 1.7389,                0.32669,                0.36364,                0.28321,                0.12994,                 1.9904,                 2.0127,                 1.8512,              0.0019802,              0.0019802,              0.0019802
                     12,                 1.8813,                 2.0134,                 1.6556,                0.34594,                0.40404,                0.25356,                0.11612,                 1.9674,                 2.2668,                 1.8658,              0.0019802,              0.0019802,              0.0019802
                     13,                 1.8518,                 2.1071,                 1.6764,                0.34594,                0.40404,                0.25356,                0.11612,                 1.9674,                 2.2668,                 1.8658,              0.0019782,              0.0019782,              0.0019782
                     14,                 1.9325,                  2.128,                 1.6994,                0.22839,                0.25253,                 0.1611,                0.07614,                 2.0457,                 2.9787,                 1.8916,              0.0019762,              0.0019762,              0.0019762
                     15,                 1.8517,                 1.9592,                 1.5787,                0.32243,                0.30303,                0.17122,                0.08024,                 1.8612,                 2.7343,                  1.817,              0.0019743,              0.0019743,              0.0019743
                     16,                 1.7884,                 1.9652,                 1.5872,                0.32243,                0.30303,                0.17122,                0.08024,                 1.8612,                 2.7343,                  1.817,              0.0019723,              0.0019723,              0.0019723
                     17,                 1.8311,                 1.9219,                 1.6106,                0.35968,                0.35354,                0.29051,                0.14696,                  1.832,                  2.917,                 1.8637,              0.0019703,              0.0019703,              0.0019703
                     18,                 1.8482,                 2.0008,                 1.6944,                0.35968,                0.35354,                0.29051,                0.14696,                  1.832,                  2.917,                 1.8637,              0.0019683,              0.0019683,              0.0019683
                     19,                 1.8771,                 1.9288,                 1.6986,                0.41247,                0.39004,                0.31783,                0.15687,                 1.8202,                 2.9886,                 1.8003,              0.0019663,              0.0019663,              0.0019663
                     20,                   1.81,                 1.9772,                 1.6503,                0.51938,                0.37374,                0.36424,                0.17198,                 1.8385,                 2.4917,                  1.766,              0.0019644,              0.0019644,              0.0019644
                     21,                 1.7163,                 1.8831,                 1.5427,                0.51938,                0.37374,                0.36424,                0.17198,                 1.8385,                 2.4917,                  1.766,              0.0019624,              0.0019624,              0.0019624
                     22,                 1.7825,                 1.9342,                 1.5881,                0.44793,                0.38384,                0.34648,                0.15115,                 1.8406,                 2.3911,                 1.7651,              0.0019604,              0.0019604,              0.0019604
                     23,                 1.8018,                  1.861,                  1.573,                0.47003,                0.39418,                0.33518,                0.15326,                 1.9142,                 2.5806,                 1.8239,              0.0019584,              0.0019584,              0.0019584
                     24,                 1.8944,                 2.0655,                 1.7699,                0.47003,                0.39418,                0.33518,                0.15326,                 1.9142,                 2.5806,                 1.8239,              0.0019564,              0.0019564,              0.0019564
                     25,                 1.8739,                 2.1377,                  1.751,                0.41492,                0.39394,                0.27449,                0.13225,                 1.9438,                 2.4664,                 1.8393,              0.0019545,              0.0019545,              0.0019545
                     26,                 1.9167,                 2.0594,                 1.7176,                0.41492,                0.39394,                0.27449,                0.13225,                 1.9438,                 2.4664,                 1.8393,              0.0019525,              0.0019525,              0.0019525
                     27,                 1.8295,                 1.8818,                 1.6759,                0.24045,                0.31313,                0.17784,                0.08823,                 1.8989,                  2.434,                 1.7877,              0.0019505,              0.0019505,              0.0019505
                     28,                  1.785,                 1.8558,                 1.6042,                0.29973,                0.45455,                0.28068,                 0.1441,                 1.8118,                 2.0006,                 1.7447,              0.0019485,              0.0019485,              0.0019485
