                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3864,                 4.1044,                  1.665,                0.01576,                    0.8,                0.22908,                0.12703,                 1.0761,                 3.6129,                 1.3967,             0.00021836,             0.00021836,             0.00021836
                      2,                 1.2214,                 3.5447,                 1.5408,                0.35467,                0.46619,                0.22505,                0.13265,                 1.2986,                 2.8462,                 1.5904,             0.00043633,             0.00043633,             0.00043633
                      3,                 1.2979,                 3.0382,                 1.5577,                0.38011,                0.47857,                0.24261,                0.14464,                 1.3113,                 2.6381,                 1.6778,              0.0006499,              0.0006499,              0.0006499
                      4,                 1.2746,                 2.8871,                 1.5596,                0.43175,                0.54585,                0.36357,                0.23332,                 1.2227,                 2.4982,                 1.5759,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.2512,                 2.6431,                 1.5204,                0.52303,                0.63701,                0.40433,                0.23205,                 1.3878,                  2.268,                 1.7184,             0.00064719,             0.00064719,             0.00064719
                      6,                 1.2251,                 2.4604,                 1.4911,                0.62256,                0.45661,                0.51819,                0.36902,                  1.145,                 2.4278,                 1.5053,             0.00064059,             0.00064059,             0.00064059
                      7,                 1.2155,                 2.4099,                 1.4553,                0.76954,                0.54464,                0.59292,                0.38351,                 1.1496,                 1.8661,                  1.495,             0.00063398,             0.00063398,             0.00063398
