                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2882,                  2.768,                 1.5277,                  0.006,                      1,                0.52552,                0.39472,                0.95166,                 3.0418,                 1.1302,                0.00024,                0.00024,                0.00024
                      2,                0.97155,                 2.1921,                 1.2349,                  0.006,                      1,                0.68941,                0.42452,                  1.123,                 2.9318,                  1.321,             0.00049951,             0.00049951,             0.00049951
                      3,                0.98898,                 1.5267,                 1.2453,                0.82983,                0.54387,                0.70274,                0.41903,                 1.2262,                 2.4026,                 1.3294,              0.0007585,              0.0007585,              0.0007585
                      4,                0.98545,                 1.5628,                 1.2475,                0.69987,                0.55556,                0.64074,                0.36648,                 1.4147,                 2.5891,                 1.6135,               0.001017,               0.001017,               0.001017
                      5,                0.89429,                 1.3419,                 1.1956,                0.64043,                0.44444,                0.52503,                0.39264,                  1.135,                 2.6433,                 1.2761,              0.0012749,              0.0012749,              0.0012749
                      6,                0.87048,                 1.3472,                 1.1424,                0.67788,                0.77778,                0.72035,                0.50106,                 1.0824,                  2.255,                  1.505,              0.0015324,              0.0015324,              0.0015324
                      7,                 1.0215,                 1.4541,                 1.1798,                0.49322,                0.44444,                0.60348,                0.38953,                0.86793,                 3.4038,                 1.1214,              0.0017893,              0.0017893,              0.0017893
                      8,                0.96424,                 1.4781,                  1.202,                0.48985,                0.88889,                 0.5887,                 0.3616,                0.99357,                 2.6592,                 1.2721,              0.0019861,              0.0019861,              0.0019861
                      9,                 1.0263,                 1.3799,                 1.1822,                0.48985,                0.88889,                 0.5887,                 0.3616,                0.99357,                 2.6592,                 1.2721,              0.0019861,              0.0019861,              0.0019861
                     10,                 1.1526,                 1.5599,                 1.2807,                0.13882,                0.44444,                0.26766,                0.16764,                  1.165,                 3.1107,                 1.2944,              0.0019842,              0.0019842,              0.0019842
                     11,                 1.1708,                 1.4545,                 1.3178,                0.31764,                0.44444,                0.28913,                 0.1289,                 1.7117,                 3.3971,                 2.0061,              0.0019822,              0.0019822,              0.0019822
                     12,                 1.2822,                 1.7053,                 1.4581,                0.49421,                0.43543,                 0.5091,                0.31984,                 1.1328,                 2.7867,                 1.3465,              0.0019802,              0.0019802,              0.0019802
                     13,                 1.1176,                 1.3623,                 1.2454,                0.58712,                0.66667,                0.52084,                0.33574,                 1.3225,                 3.2956,                 1.6426,              0.0019782,              0.0019782,              0.0019782
                     14,                 1.0537,                 1.4392,                 1.2832,                0.85271,                0.88889,                0.91105,                0.57134,                 1.2348,                 3.5779,                 1.5519,              0.0019762,              0.0019762,              0.0019762
                     15,                0.95331,                 1.3156,                 1.1668,                0.85271,                0.88889,                0.91105,                0.57134,                 1.2348,                 3.5779,                 1.5519,              0.0019743,              0.0019743,              0.0019743
                     16,                 0.9216,                 1.1595,                 1.1576,                      1,                0.54944,                 0.7433,                0.51336,                 1.1143,                 3.3155,                 1.2663,              0.0019723,              0.0019723,              0.0019723
                     17,                 1.0924,                 1.3543,                 1.2894,                0.63784,                0.44444,                 0.5994,                0.39207,                 1.3124,                 3.3924,                 1.5113,              0.0019703,              0.0019703,              0.0019703
                     18,                 1.0585,                 1.2856,                 1.2111,                0.61004,                0.87036,                0.78436,                0.50753,                 1.0543,                 2.7744,                  1.299,              0.0019683,              0.0019683,              0.0019683
                     19,                0.92844,                 1.2961,                 1.2253,                0.76058,                0.77778,                0.75666,                0.41507,                 1.0751,                 2.5042,                 1.3648,              0.0019663,              0.0019663,              0.0019663
                     20,                0.97534,                 1.1901,                 1.1649,                0.76058,                0.77778,                0.75666,                0.41507,                 1.0751,                 2.5042,                 1.3648,              0.0019644,              0.0019644,              0.0019644
                     21,                 0.9263,                 1.1272,                 1.0954,                0.68311,                0.77778,                0.72727,                0.24135,                 1.3266,                 2.4923,                 1.5084,              0.0019624,              0.0019624,              0.0019624
                     22,                0.97191,                 1.1442,                 1.1627,                0.47652,                0.77778,                 0.5714,                0.38332,                 1.0555,                 2.3736,                 1.2697,              0.0019604,              0.0019604,              0.0019604
                     23,                0.97455,                 1.1287,                  1.149,                0.40642,                0.66667,                0.51896,                0.29484,                  1.125,                 2.6327,                 1.3443,              0.0019584,              0.0019584,              0.0019584
                     24,                0.98912,                 1.1812,                 1.1934,                0.66214,                0.65459,                0.72888,                0.28223,                  1.311,                  2.464,                 1.4239,              0.0019564,              0.0019564,              0.0019564
                     25,                0.99021,                 1.1879,                 1.2002,                0.66214,                0.65459,                0.72888,                0.28223,                  1.311,                  2.464,                 1.4239,              0.0019545,              0.0019545,              0.0019545
                     26,                0.96923,                 1.1562,                 1.1533,                0.56783,                0.77778,                0.57045,                   0.28,                 1.4891,                  2.954,                  1.725,              0.0019525,              0.0019525,              0.0019525
                     27,                 1.0564,                 1.2752,                 1.2854,                 0.6332,                0.66667,                0.62516,                0.34648,                 1.4885,                 2.5758,                 1.9564,              0.0019505,              0.0019505,              0.0019505
                     28,                 1.0415,                 1.2544,                 1.2422,                0.87376,                0.77006,                0.81537,                0.44872,                 1.3134,                 2.0951,                 1.4612,              0.0019485,              0.0019485,              0.0019485
                     29,                 1.0275,                 1.1788,                 1.2104,                0.77191,                0.77778,                0.80079,                0.52466,                 1.1948,                 1.6815,                 1.3484,              0.0019465,              0.0019465,              0.0019465
                     30,                0.99607,                 1.1602,                 1.1932,                0.77424,                0.88889,                0.80643,                0.55037,                  1.021,                 1.4745,                 1.1355,              0.0019446,              0.0019446,              0.0019446
                     31,                0.98812,                 1.2083,                 1.2382,                0.77424,                0.88889,                0.80643,                0.55037,                  1.021,                 1.4745,                 1.1355,              0.0019426,              0.0019426,              0.0019426
                     32,                0.94798,                 1.1818,                 1.1867,                0.70362,                0.88889,                0.86132,                0.59503,                  1.013,                 1.4339,                 1.1444,              0.0019406,              0.0019406,              0.0019406
                     33,                0.93468,                 1.0684,                 1.1534,                0.65366,                0.88889,                0.83638,                0.61027,                 1.0606,                 1.6481,                 1.2103,              0.0019386,              0.0019386,              0.0019386
                     34,                0.88056,                 1.0533,                 1.1549,                0.84266,                0.77778,                  0.929,                0.61763,                 1.1343,                 1.6283,                 1.2566,              0.0019366,              0.0019366,              0.0019366
                     35,                0.89574,                 1.0001,                 1.1368,                0.77374,                0.76164,                0.86422,                0.66397,                0.85338,                 1.5464,                 1.0569,              0.0019347,              0.0019347,              0.0019347
                     36,                0.83188,                 1.0511,                 1.0884,                0.77374,                0.76164,                0.86422,                0.66397,                0.85338,                 1.5464,                 1.0569,              0.0019327,              0.0019327,              0.0019327
                     37,                0.90658,                0.97213,                 1.1329,                0.66203,                0.66667,                0.77783,                0.63121,                0.76688,                 1.6433,                 1.0067,              0.0019307,              0.0019307,              0.0019307
                     38,                0.83662,                 1.0022,                 1.1058,                0.59972,                0.88889,                0.76477,                0.57898,                0.81763,                 1.4028,                 1.0735,              0.0019287,              0.0019287,              0.0019287
                     39,                0.91151,                0.98828,                 1.1527,                0.67251,                      1,                 0.7274,                0.52732,                0.92976,                 1.3289,                 1.1412,              0.0019267,              0.0019267,              0.0019267
                     40,                0.91749,                0.96152,                 1.1405,                0.73454,                0.66667,                0.78278,                0.58059,                0.94586,                 1.3366,                 1.1634,              0.0019248,              0.0019248,              0.0019248
                     41,                0.83568,                0.93122,                 1.1253,                0.73454,                0.66667,                0.78278,                0.58059,                0.94586,                 1.3366,                 1.1634,              0.0019228,              0.0019228,              0.0019228
                     42,                0.92611,                 1.2149,                 1.2169,                0.79248,                0.55556,                   0.78,                0.58899,                 1.0081,                 1.3395,                  1.212,              0.0019208,              0.0019208,              0.0019208
                     43,                0.92678,                 1.1314,                 1.1408,                0.65317,                0.77778,                0.85383,                0.62192,                 1.0247,                 1.3186,                 1.2882,              0.0019188,              0.0019188,              0.0019188
                     44,                0.95686,                 1.1111,                 1.2258,                0.79739,                0.87586,                0.84833,                0.55647,                 1.1809,                  1.248,                 1.5219,              0.0019168,              0.0019168,              0.0019168
                     45,                 0.8584,                 0.9816,                 1.1027,                0.79253,                0.85156,                0.85115,                0.54622,                 1.2849,                 1.2794,                 1.6478,              0.0019149,              0.0019149,              0.0019149
                     46,                0.85368,                0.97723,                 1.1067,                0.81424,                      1,                  0.875,                0.61489,                 1.1192,                 1.2168,                 1.4076,              0.0019129,              0.0019129,              0.0019129
                     47,                0.83313,                0.92079,                 1.0747,                0.81424,                      1,                  0.875,                0.61489,                 1.1192,                 1.2168,                 1.4076,              0.0019109,              0.0019109,              0.0019109
                     48,                0.85015,                0.97188,                  1.103,                0.81258,                      1,                  0.875,                0.71044,                0.81615,                 1.3105,                 1.0501,              0.0019089,              0.0019089,              0.0019089
                     49,                0.83491,                0.91547,                 1.0997,                0.81456,                      1,                    0.9,                0.71856,                0.93432,                 1.2913,                 1.1189,              0.0019069,              0.0019069,              0.0019069
                     50,                0.79426,                0.84998,                 1.0765,                0.88628,                0.86799,                0.91861,                0.70194,                 1.1082,                 1.2447,                  1.289,               0.001905,               0.001905,               0.001905
                     51,                 0.8105,                0.98011,                 1.1002,                0.61196,                0.88889,                 0.8288,                0.62232,                 1.0259,                 1.2962,                   1.22,               0.001903,               0.001903,               0.001903
                     52,                0.76453,                0.81819,                 1.0744,                0.61196,                0.88889,                 0.8288,                0.62232,                 1.0259,                 1.2962,                   1.22,               0.001901,               0.001901,               0.001901
                     53,                0.84601,                0.90536,                 1.0842,                 0.9852,                0.44444,                0.63457,                0.45431,                 1.0526,                 1.7118,                  1.257,               0.001899,               0.001899,               0.001899
                     54,                0.96988,                 1.0022,                 1.1948,                0.64883,                0.66667,                0.68057,                0.47853,                0.93222,                 1.4577,                 1.1482,               0.001897,               0.001897,               0.001897
                     55,                0.88555,                0.92191,                 1.0901,                      1,                0.76138,                0.91433,                0.68007,                0.89146,                 1.0954,                 1.1117,              0.0018951,              0.0018951,              0.0018951
                     56,                0.83215,                0.87311,                 1.0685,                0.88867,                0.88715,                0.90639,                0.71243,                0.97266,                 1.0428,                 1.1771,              0.0018931,              0.0018931,              0.0018931
                     57,                0.79725,                0.90582,                 1.0872,                0.88867,                0.88715,                0.90639,                0.71243,                0.97266,                 1.0428,                 1.1771,              0.0018911,              0.0018911,              0.0018911
                     58,                0.85224,                0.87091,                 1.0755,                0.81337,                0.97057,                0.90357,                0.66885,                 1.0004,                 1.2194,                 1.1661,              0.0018891,              0.0018891,              0.0018891
                     59,                 0.8595,                0.87755,                  1.104,                0.69682,                0.88889,                 0.8979,                0.71909,                0.90691,                 1.1185,                 1.0714,              0.0018871,              0.0018871,              0.0018871
                     60,                 0.8066,                0.84129,                 1.0648,                0.79155,                0.88889,                0.88971,                0.73805,                0.65835,                 1.0482,                0.90888,              0.0018852,              0.0018852,              0.0018852
                     61,                0.81608,                0.88794,                 1.0868,                0.79505,                0.86416,                0.87138,                0.73827,                0.67133,                 0.9868,                0.93498,              0.0018832,              0.0018832,              0.0018832
                     62,                0.82928,                0.79973,                 1.0517,                0.79668,                0.87226,                 0.8243,                0.65727,                0.81372,                 1.0162,                 1.0952,              0.0018812,              0.0018812,              0.0018812
                     63,                 0.7712,                0.80732,                 1.0481,                0.79668,                0.87226,                 0.8243,                0.65727,                0.81372,                 1.0162,                 1.0952,              0.0018792,              0.0018792,              0.0018792
                     64,                0.72284,                0.80049,                 1.0505,                0.74351,                      1,                 0.8575,                0.69111,                0.85587,                 1.0769,                 1.1033,              0.0018772,              0.0018772,              0.0018772
                     65,                0.76114,                0.78415,                 1.0544,                0.79057,                      1,                0.87833,                0.72452,                0.79795,                 1.0369,                 1.0144,              0.0018753,              0.0018753,              0.0018753
                     66,                0.77002,                0.84837,                 1.0684,                 0.8046,                      1,                0.88625,                0.74703,                0.70565,                  1.013,                0.90949,              0.0018733,              0.0018733,              0.0018733
                     67,                0.74769,                0.75659,                 1.0521,                0.86153,                      1,                  0.907,                0.79166,                0.59294,                0.87791,                0.86075,              0.0018713,              0.0018713,              0.0018713
                     68,                0.77198,                0.83404,                 1.0421,                0.86153,                      1,                  0.907,                0.79166,                0.59294,                0.87791,                0.86075,              0.0018693,              0.0018693,              0.0018693
                     69,                0.83482,                0.77579,                 1.0893,                0.85391,                0.88889,                0.91389,                0.77264,                0.64424,                0.83097,                0.88769,              0.0018673,              0.0018673,              0.0018673
                     70,                0.78893,                0.76018,                 1.0767,                0.80132,                      1,                  0.955,                0.78515,                0.67841,                 0.8695,                0.93169,              0.0018654,              0.0018654,              0.0018654
                     71,                0.79554,                0.80464,                 1.0597,                0.78929,                      1,                0.96278,                0.76746,                0.71056,                0.86285,                 0.9896,              0.0018634,              0.0018634,              0.0018634
                     72,                 0.7266,                0.76494,                 1.0335,                 0.8632,                0.88889,                0.94306,                0.75572,                0.71719,                0.81522,                0.97997,              0.0018614,              0.0018614,              0.0018614
                     73,                 0.7783,                0.72261,                 1.0247,                 0.8632,                0.88889,                0.94306,                0.75572,                0.71719,                0.81522,                0.97997,              0.0018594,              0.0018594,              0.0018594
                     74,                0.81304,                  0.796,                 1.0638,                0.89543,                0.95427,                  0.951,                0.76583,                0.67575,                 0.8825,                0.96729,              0.0018574,              0.0018574,              0.0018574
                     75,                0.77616,                 0.8594,                 1.1003,                0.78373,                      1,                    0.9,                0.74386,                0.72837,                0.92441,                 1.0272,              0.0018555,              0.0018555,              0.0018555
                     76,                0.75586,                0.75739,                 1.0753,                0.68672,                      1,                0.82915,                0.66025,                0.83426,                0.92208,                 1.1046,              0.0018535,              0.0018535,              0.0018535
                     77,                0.70575,                0.73244,                 1.0274,                0.68482,                      1,                0.81382,                0.63356,                0.85985,                 0.9065,                 1.0639,              0.0018515,              0.0018515,              0.0018515
                     78,                0.75864,                0.74364,                 1.0294,                0.74619,                0.98137,                 0.8575,                0.68619,                0.75603,                0.89574,                 0.9929,              0.0018495,              0.0018495,              0.0018495
                     79,                0.69065,                0.73683,                 1.0205,                0.74619,                0.98137,                 0.8575,                0.68619,                0.75603,                0.89574,                 0.9929,              0.0018475,              0.0018475,              0.0018475
                     80,                0.73177,                0.75274,                 1.0256,                0.68998,                0.98993,                0.85856,                0.70005,                0.72125,                0.93868,                0.96122,              0.0018456,              0.0018456,              0.0018456
                     81,                0.84705,                0.79723,                 1.1006,                0.97008,                0.66667,                0.90312,                0.72592,                0.79077,                0.88492,                0.97471,              0.0018436,              0.0018436,              0.0018436
                     82,                0.78668,                0.74233,                 1.0475,                      1,                0.85354,                0.93711,                0.68793,                0.84611,                0.83488,                0.99866,              0.0018416,              0.0018416,              0.0018416
                     83,                0.70349,                0.66637,                  1.031,                      1,                0.87312,                0.93711,                0.74087,                0.82088,                0.82163,                 1.0026,              0.0018396,              0.0018396,              0.0018396
                     84,                 0.6973,                 0.6903,                0.99223,                      1,                0.87312,                0.93711,                0.74087,                0.82088,                0.82163,                 1.0026,              0.0018376,              0.0018376,              0.0018376
                     85,                 0.7428,                0.71249,                   1.05,                0.86846,                0.88889,                0.95528,                0.77716,                0.84752,                0.87934,                 1.0455,              0.0018357,              0.0018357,              0.0018357
                     86,                0.74032,                0.71537,                 1.0157,                0.80856,                0.94121,                0.96278,                0.77211,                0.88418,                0.96834,                 1.0753,              0.0018337,              0.0018337,              0.0018337
                     87,                 0.7021,                0.66233,                 1.0027,                0.81764,                0.99668,                  0.955,                0.78359,                0.79341,                0.98462,                 1.0198,              0.0018317,              0.0018317,              0.0018317
