                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3864,                 4.1044,                  1.665,                0.01576,                    0.8,                0.22908,                0.12703,                 1.0761,                 3.6129,                 1.3967,             0.00021836,             0.00021836,             0.00021836
                      2,                 1.2234,                 3.5513,                 1.5379,                0.40479,                0.42824,                0.22654,                0.13407,                 1.2572,                 2.8152,                 1.5499,             0.00044026,             0.00044026,             0.00044026
                      3,                 1.3025,                 3.0427,                 1.5382,                0.41156,                0.36648,                0.24777,                0.14678,                  1.247,                 2.4966,                 1.5971,             0.00066172,             0.00066172,             0.00066172
                      4,                 1.2829,                 2.8908,                  1.543,                0.40534,                0.49131,                0.36829,                0.22647,                 1.1677,                 2.5658,                 1.5044,             0.00066502,             0.00066502,             0.00066502
                      5,                 1.2268,                 2.6117,                 1.5083,                0.50007,                0.50109,                0.41978,                0.23676,                 1.3067,                 2.2538,                 1.6388,             0.00066502,             0.00066502,             0.00066502
                      6,                 1.2242,                 2.4679,                 1.5279,                0.69132,                 0.5008,                 0.5198,                 0.3167,                   1.19,                 2.0375,                 1.5127,             0.00066436,             0.00066436,             0.00066436
                      7,                 1.2246,                 2.4476,                 1.4647,                0.61199,                0.61377,                0.56977,                0.36055,                 1.1456,                 2.3926,                 1.5257,              0.0006637,              0.0006637,              0.0006637
                      8,                  1.142,                 2.2785,                 1.4306,                0.77223,                0.61905,                0.64303,                0.41326,                 1.1931,                 2.2254,                 1.5931,             0.00066304,             0.00066304,             0.00066304
                      9,                 1.1566,                 2.0855,                  1.415,                0.68887,                0.61963,                0.60961,                 0.4142,                 1.1558,                 1.8882,                 1.5083,             0.00066238,             0.00066238,             0.00066238
                     10,                 1.0961,                 2.1091,                 1.3778,                0.89049,                0.64794,                0.70323,                0.46694,                 1.1586,                 1.7907,                 1.5521,             0.00066172,             0.00066172,             0.00066172
                     11,                 1.1385,                 2.0159,                 1.4034,                0.72914,                 0.6372,                0.60673,                  0.383,                 1.2026,                 2.3876,                 1.5544,             0.00066106,             0.00066106,             0.00066106
                     12,                 1.1874,                 1.9298,                 1.4255,                 0.8879,                0.59953,                0.69319,                0.46362,                 1.1581,                 1.5895,                 1.5034,              0.0006604,              0.0006604,              0.0006604
                     13,                 1.1172,                   1.85,                 1.3652,                0.82256,                0.57929,                0.65927,                0.45549,                 1.1166,                 2.1498,                 1.4909,             0.00065974,             0.00065974,             0.00065974
                     14,                 1.1146,                 1.9091,                 1.3937,                0.91818,                0.70725,                0.72137,                0.44443,                  1.201,                 1.5357,                 1.5695,             0.00065908,             0.00065908,             0.00065908
                     15,                 1.0597,                 1.7476,                 1.3794,                 0.9083,                0.58289,                0.69327,                0.43294,                 1.1804,                 1.6943,                 1.5984,             0.00065842,             0.00065842,             0.00065842
                     16,                 1.0815,                  1.795,                 1.3483,                0.84652,                0.62355,                0.67691,                 0.4166,                 1.2813,                  1.843,                 1.6422,             0.00065776,             0.00065776,             0.00065776
                     17,                 1.1292,                 1.7777,                 1.3793,                0.87299,                0.68298,                0.72038,                0.46445,                 1.2247,                  1.474,                 1.5287,              0.0006571,              0.0006571,              0.0006571
                     18,                 1.0633,                 1.7999,                  1.353,                0.90695,                0.63417,                 0.7313,                0.47536,                 1.1775,                 1.3814,                 1.5175,             0.00065643,             0.00065643,             0.00065643
                     19,                 1.0395,                 1.6095,                 1.3175,                0.83435,                0.66024,                0.69742,                0.44914,                  1.155,                 1.4308,                 1.5012,             0.00065577,             0.00065577,             0.00065577
                     20,                 1.0611,                  1.615,                 1.3523,                0.91427,                0.70623,                0.74172,                0.47743,                 1.1775,                  1.356,                  1.519,             0.00065511,             0.00065511,             0.00065511
                     21,                 1.0326,                 1.5657,                 1.2802,                0.92801,                0.67612,                0.72535,                0.48188,                 1.1809,                 1.2957,                 1.5147,             0.00065445,             0.00065445,             0.00065445
                     22,                0.98497,                 1.4901,                 1.2851,                0.93713,                0.72106,                0.75933,                0.49371,                 1.1443,                 1.2627,                 1.4755,             0.00065379,             0.00065379,             0.00065379
                     23,                 1.0349,                 1.5697,                 1.3001,                0.81948,                0.74118,                 0.7372,                0.44391,                 1.2362,                 1.2462,                 1.6209,             0.00065313,             0.00065313,             0.00065313
                     24,                0.99985,                 1.4603,                  1.266,                0.93016,                0.67726,                0.73721,                0.47967,                 1.1759,                 1.1688,                 1.5454,             0.00065247,             0.00065247,             0.00065247
                     25,                 1.0366,                 1.4474,                 1.2886,                0.84848,                0.72826,                0.73432,                 0.4808,                  1.137,                 1.1608,                 1.4776,             0.00065181,             0.00065181,             0.00065181
                     26,                 0.9802,                 1.4301,                 1.2788,                0.88925,                0.73108,                0.74858,                 0.4462,                 1.3202,                 1.2994,                 1.6134,             0.00065115,             0.00065115,             0.00065115
                     27,                 1.0147,                 1.4654,                 1.2905,                0.97795,                0.67105,                0.73759,                0.44857,                 1.3175,                 1.2715,                 1.6174,             0.00065049,             0.00065049,             0.00065049
                     28,                0.95282,                 1.3713,                 1.2535,                0.92889,                0.67864,                0.74941,                0.47848,                  1.247,                 1.2664,                 1.5167,             0.00064983,             0.00064983,             0.00064983
                     29,                0.95389,                 1.3437,                 1.2403,                0.95277,                0.64533,                0.72406,                0.48351,                 1.1748,                 1.1952,                 1.4373,             0.00064917,             0.00064917,             0.00064917
                     30,                0.95037,                  1.421,                 1.2312,                0.89002,                0.66382,                0.70615,                0.45668,                 1.2161,                 1.2671,                 1.5157,             0.00064851,             0.00064851,             0.00064851
                     31,                0.93817,                 1.2615,                 1.2429,                0.92383,                0.65721,                 0.7174,                0.47624,                 1.1514,                 1.1659,                 1.4384,             0.00064785,             0.00064785,             0.00064785
                     32,                0.97698,                 1.2842,                 1.2662,                0.95691,                0.72785,                0.74703,                0.49174,                 1.1551,                 1.1168,                 1.4482,             0.00064719,             0.00064719,             0.00064719
                     33,                 0.9884,                 1.2864,                 1.2566,                0.86535,                0.73238,                0.74422,                0.49416,                 1.1309,                 1.2074,                 1.4071,             0.00064653,             0.00064653,             0.00064653
                     34,                0.91617,                 1.2009,                 1.2247,                 0.8494,                0.71559,                0.70598,                0.45719,                 1.2364,                 1.1939,                 1.5138,             0.00064587,             0.00064587,             0.00064587
                     35,                0.96528,                 1.2363,                 1.2604,                0.91916,                0.67423,                0.72051,                0.46338,                 1.2373,                 1.1656,                 1.5351,             0.00064521,             0.00064521,             0.00064521
                     36,                0.90981,                 1.3068,                 1.2016,                0.92583,                0.69014,                0.70252,                0.43685,                 1.2983,                 1.0988,                 1.6868,             0.00064455,             0.00064455,             0.00064455
                     37,                0.91721,                 1.2387,                  1.235,                0.93203,                0.68634,                0.72826,                0.45864,                 1.2852,                  1.175,                 1.6101,             0.00064389,             0.00064389,             0.00064389
                     38,                0.94522,                 1.2551,                 1.2368,                0.94431,                0.67475,                0.73099,                0.48277,                 1.1525,                 1.1435,                  1.515,             0.00064323,             0.00064323,             0.00064323
                     39,                  0.893,                 1.1727,                 1.2158,                0.95148,                 0.6587,                0.72903,                0.48177,                 1.1525,                 1.0529,                 1.4932,             0.00064257,             0.00064257,             0.00064257
                     40,                0.88805,                 1.1674,                  1.203,                0.94146,                0.68157,                0.73179,                0.49088,                  1.155,                0.97649,                 1.4479,             0.00064191,             0.00064191,             0.00064191
